"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Blue",1,190.5,6,0,1,0,2,6
"Red",1,170.18,0,0,1,0,0,12
"Blue",4,185.42,7,0,1,2,2,7
"Red",0,190.5,2,0,1,0,1,9
"Red",0,180.34,2,3,1,0,1,7
"Blue",0,175.26,3,0,1,0,0,1
"Blue",0,165.1,1,0,1,0,1,4
"Blue",3,187.96,3,0,1,0,0,9
"Red",0,193.04,5,0,1,1,1,9
"Red",1,175.26,0,0,1,1,1,3
"Blue",0,182.88,3,1,1,1,1,3
"Red",2,187.96,0,0,1,0,1,9
"Blue",0,187.96,2,4,1,2,0,8
"Blue",0,185.42,3,1,1,1,1,8
"Red",1,172.72,2,0,1,0,0,10
"Blue",0,190.5,4,0,1,2,1,9
"Red",0,157.48,0,0,1,1,0,12
"Red",1,190.5,2,0,1,0,0,8
"Blue",7,193.04,8,0,1,9,1,9
"Blue",2,167.64,1,0,1,0,1,13
"Blue",1,195.58,3,0,1,0,0,6
"Blue",0,172.72,1,1,1,0,0,1
"Blue",0,175.26,1,0,1,0,0,12
"Red",3,180.34,2,0,1,3,0,9
"Blue",6,170.18,2,0,1,3,0,9
"Blue",0,170.18,1,1,1,2,1,4
"Red",1,167.64,0,0,1,0,0,13
"Red",1,182.88,1,0,1,0,0,3
"Blue",1,167.64,3,0,1,1,0,1
"Red",0,195.58,1,1,1,0,0,7
"Red",4,170.18,1,0,2,2,1,10
"Blue",1,180.34,2,0,1,4,0,8
"Red",1,162.56,0,0,1,0,1,13
"Red",2,167.64,3,0,1,1,1,1
"Blue",1,187.96,10,0,1,2,0,8
"Red",1,187.96,4,0,1,2,2,8
"Red",0,187.96,2,1,1,3,0,5
"Red",3,167.64,1,0,1,1,0,7
"Red",1,193.04,1,0,1,0,1,9
"Red",1,187.96,2,0,1,3,0,9
"Blue",0,195.58,7,1,1,5,1,8
"Blue",1,193.04,0,0,1,0,1,9
"Red",0,205.74,1,1,1,0,0,8
"Blue",0,195.58,5,1,1,0,1,7
"Red",0,177.8,7,1,1,2,0,3
"Red",0,198.12,0,1,1,0,0,5
"Red",4,193.04,3,0,1,0,1,8
"Red",3,180.34,3,0,1,2,0,1
"Blue",2,190.5,11,0,1,6,2,7
"Red",1,182.88,2,0,1,0,0,9
"Blue",0,175.26,1,0,1,0,0,1
"Red",1,190.5,2,0,1,1,0,9
"Red",2,193.04,4,0,1,0,0,6
"Red",1,185.42,4,0,1,2,0,9
"Red",0,177.8,5,1,1,3,0,7
"Blue",0,193.04,7,1,1,0,1,9
"Red",0,187.96,0,1,1,0,0,8
"Red",0,170.18,2,1,1,2,0,13
"Blue",3,200.66,10,0,1,0,2,8
"Red",0,195.58,1,0,1,0,0,9
"Blue",2,167.64,4,0,1,2,0,4
"Blue",3,187.96,3,0,1,0,1,8
"Red",0,185.42,2,0,1,3,0,7
"Blue",0,170.18,0,0,1,0,0,12
"Blue",0,190.5,4,2,1,0,0,9
"Blue",1,205.74,0,0,1,0,0,5
"Blue",2,170.18,2,0,1,0,0,1
"Red",0,185.42,2,1,1,1,0,1
"Red",5,177.8,0,0,2,2,0,7
"Red",0,165.1,2,1,2,3,0,13
"Red",2,182.88,1,0,1,1,2,3
"Red",1,177.8,0,0,1,2,0,3
"Blue",0,172.72,11,2,1,7,1,7
"Red",4,165.1,2,0,1,0,1,13
"Blue",3,177.8,7,0,1,1,3,7
"Blue",0,170.18,4,2,1,1,0,12
"Red",0,208.28,2,0,1,0,0,6
"Blue",3,203.2,4,0,1,3,0,5
"Blue",2,198.12,3,0,1,0,0,6
"Red",0,180.34,1,2,1,0,0,1
"Red",2,190.5,2,0,1,1,0,9
"Blue",0,185.42,0,0,1,0,0,8
"Red",0,195.58,2,1,1,1,0,9
"Red",0,185.42,0,0,1,0,0,3
"Red",0,190.5,2,0,1,1,0,6
"Blue",3,190.5,2,0,1,0,1,7
"Blue",0,195.58,1,0,1,0,0,5
"Red",0,172.72,0,0,2,0,0,11
"Blue",5,175.26,6,0,1,2,0,3
"Red",1,177.8,0,0,1,0,0,1
"Blue",1,195.58,7,0,1,5,0,5
"Blue",3,172.72,2,0,1,0,0,10
"Blue",0,160.02,2,0,1,0,0,13
"Blue",0,182.88,4,0,1,3,1,7
"Red",4,165.1,4,0,1,0,0,1
"Red",0,180.34,8,5,1,2,1,8
"Blue",0,182.88,8,1,1,2,1,9
"Blue",2,162.56,2,0,1,4,1,1
"Red",0,193.04,0,1,1,0,0,6
"Blue",2,180.34,1,0,1,0,1,3
"Red",3,152.4,4,0,1,2,1,13
"Blue",1,185.42,5,0,1,3,0,6
"Blue",0,193.04,2,1,1,0,0,9
"Blue",1,167.64,4,0,1,3,0,1
"Blue",1,172.72,4,0,1,2,1,10
"Blue",0,162.56,1,1,1,1,1,13
"Blue",0,185.42,5,2,1,3,1,9
"Red",0,187.96,5,0,1,1,1,6
"Red",1,177.8,4,0,1,4,1,1
"Blue",1,165.1,2,0,1,0,0,4
"Blue",0,180.34,4,0,1,0,1,1
